term,estimate,std.error,statistic,p.value
(Intercept),-8.64216451376343,0.447655096038714,-19.3054085393815,4.8371285516153e-83
age,0.0256596831424744,0.00170953049609179,15.0097837980286,6.33538682043893e-51
workclassFederal-gov,0.944431905971955,0.15970239662781,5.91369901713482,3.34508906450552e-09
workclassLocal-gov,0.313144449294592,0.145822852103643,2.14743056233755,0.03175901971162
workclassNever-worked,-11.9473990723788,538.357853897663,-0.0221923001324876,0.982294559683716
workclassPrivate,0.506615776955633,0.129879974298346,3.90064580542563,9.59364253428674e-05
workclassSelf-emp-inc,0.638944391019485,0.154979069018165,4.12277861176591,3.74329430321346e-05
workclassSelf-emp-not-inc,0.0663135348298511,0.142146420346911,0.466515686205899,0.640846422222199
workclassState-gov,0.157698801513809,0.158649628571184,0.994006748922531,0.320219581782306
workclassWithout-pay,-13.4684981572902,358.221397004566,-0.0375982514442557,0.970008002083097
education11th,-0.106311958551758,0.222868504214352,-0.477016521138889,0.63335035720425
education12th,0.325768252721098,0.279665862002711,1.16484811692154,0.244080477984526
education1st-4th,-0.620537387459792,0.528973738042682,-1.1730967774618,0.240756998659514
education5th-6th,-0.300049291723206,0.333754521672412,-0.899011915163538,0.368646314082398
education7th-8th,-0.629020128609961,0.241103950861866,-2.60891671978591,0.00908293444578307
education9th,-0.410935300909432,0.277718152933795,-1.47968469676303,0.138957411467966
educationAssoc-acdm,1.24074890420126,0.180534113007495,6.87265627272201,6.30172844282037e-12
educationAssoc-voc,1.2804008101483,0.172769187753997,7.41104838654122,1.25304851784537e-13
educationBachelors,1.88824446038824,0.159958090043133,11.8046199468816,3.69456486961107e-32
educationDoctorate,2.82939576417075,0.218543879691798,12.9465797356618,2.45657350839318e-38
educationHS-grad,0.722079364387673,0.155765149965125,4.63569267290754,3.55744183810804e-06
educationMasters,2.24018483261006,0.170863594533476,13.1109546110547,2.84988487382112e-39
educationPreschool,-12.6568129828474,176.871956149242,-0.0715591847255187,0.942952722633244
educationProf-school,2.7168675547118,0.20349535690682,13.3510051335267,1.16861364392082e-40
educationSome-college,1.05989422320531,0.158132891034858,6.70255388533734,2.04808011440616e-11
education_num,,,,
marital_statusMarried-AF-spouse,2.48262941355084,0.579851540159536,4.28149145360172,1.8564485457679e-05
marital_statusMarried-civ-spouse,2.14464731004081,0.274344415013678,7.81735363533421,5.39453962793646e-15
marital_statusMarried-spouse-absent,0.0827984323177974,0.229920410832536,0.360117799102682,0.718759042764505
marital_statusNever-married,-0.426683416159756,0.0883442977247044,-4.82977879895964,1.36684808994663e-06
marital_statusSeparated,-0.0658532466268745,0.165653940441209,-0.39753504475341,0.690972949107094
marital_statusWidowed,0.21783385440888,0.152025838541595,1.43287388840338,0.151893880648686
occupationAdm-clerical,0.194291945351849,0.103804731606657,1.87170606141608,0.0612472805034505
occupationArmed-Forces,-0.967572170562547,1.58523649912134,-0.610364555130324,0.541620342398897
occupationCraft-repair,0.241197644123447,0.0894408631435797,2.69672759906455,0.00700245262956762
occupationExec-managerial,0.969030540646358,0.0916483632265185,10.5733534842439,3.96073234249658e-26
occupationFarming-fishing,-0.828761407862609,0.146763321033148,-5.64692459961046,1.63343425601015e-08
occupationHandlers-cleaners,-0.516837258606727,0.152029649199346,-3.39958199817348,0.000674889403417312
occupationMachine-op-inspct,-0.190132699298933,0.113055740882902,-1.68176067676089,0.0926152567863749
occupationOther-service,-0.697427001275617,0.130691516305154,-5.33643667923467,9.47909540617837e-08
occupationPriv-house-serv,-1.81210626886183,1.04075698198024,-1.74114255319618,0.0816585939308259
occupationProf-specialty,0.71865936733242,0.0982004908051259,7.31828691934508,2.51156423025072e-13
occupationProtective-serv,0.731845464044133,0.13672590055427,5.35264687288453,8.66768981120959e-08
occupationSales,0.435845032110583,0.0945820950625902,4.60811353165903,4.0633878671436e-06
occupationTech-support,0.759983525535092,0.125645885199779,6.04861451950222,1.46096755110264e-09
occupationTransport-moving,,,,
relationshipNot-in-family,0.559723610456652,0.271927172571933,2.05835851254839,0.0395557311699336
relationshipOther-relative,-0.18340674207495,0.252965384742282,-0.725027031907162,0.468435446991092
relationshipOwn-child,-0.650225035842961,0.269704600970438,-2.41087854453856,0.0159141470388521
relationshipUnmarried,0.401179309921592,0.287381328604611,1.39598251518124,0.162719760490327
relationshipWife,1.37578479593186,0.104866676382498,13.1193706465314,2.55044148332814e-39
raceAsian-Pac-Islander,0.304179528828375,0.271723768539152,1.11944395024297,0.262950789967783
raceBlack,0.289814607330549,0.229100350763063,1.2650116264129,0.20586716015273
raceOther,-0.0515538769867333,0.359402402709403,-0.143443328698104,0.88594006541511
raceWhite,0.359048711625721,0.217654583174071,1.64962623984154,0.0990194047511942
sexMale,0.862838057998313,0.0793235432924787,10.8774522945463,1.47631588807061e-27
native_countryCambodia,1.62979339018559,0.631848412459903,2.57940568979274,0.00989704790157372
native_countryCanada,0.660193181879726,0.304368941488857,2.16905568173386,0.0300784567914346
native_countryChina,-0.442565048333528,0.41554768736399,-1.06501627079414,0.286868566814209
native_countryColumbia,-1.81824959929134,0.82855859923433,-2.19447315008447,0.0282014121456285
native_countryCuba,0.703737534477776,0.356732808145699,1.972730061291,0.0485263251134927
native_countryDominican-Republic,-1.453937949913,1.05862732255043,-1.37341812264036,0.169622399023657
native_countryEcuador,0.345123171460241,0.718744025167183,0.48017536059512,0.631102705489259
native_countryEl-Salvador,-0.414443085117289,0.511163966200665,-0.810783060859564,0.4174902638182
native_countryEngland,0.280175153417246,0.358956002773523,0.780527839769872,0.435080247336961
native_countryFrance,1.04265921533668,0.579463148363991,1.79935379545781,0.071962733486017
native_countryGermany,0.727836565534016,0.290326677979575,2.50695723382754,0.0121775444396855
native_countryGreece,-0.720750752719239,0.560146399219399,-1.28671853237592,0.19819241122748
native_countryGuatemala,0.198884205758017,0.756139888996238,0.263025676402328,0.792530788790683
native_countryHaiti,0.0343228855584864,0.697384132467576,0.0492166138581914,0.96074667136687
native_countryHoland-Netherlands,-11.5112467066309,1455.39756322331,-0.00790934861890009,0.993689318648093
native_countryHonduras,-11.7301086344367,422.289959479475,-0.0277773799047829,0.97783970722131
native_countryHong,0.125953328115231,0.734970770905782,0.171371887292885,0.863931358451017
native_countryHungary,0.0723405666769708,0.801119555456051,0.0902993394485168,0.928049345052066
native_countryIndia,-0.179523726506147,0.358961290636345,-0.500120016249935,0.616990572867182
native_countryIran,0.350995615983323,0.44116333100385,0.795613758706205,0.426256567045476
native_countryIreland,0.0783630440168642,0.78013844794282,0.100447611861078,0.919988972073815
native_countryItaly,0.989498402408921,0.373718153882374,2.64771296799342,0.00810382985068372
native_countryJamaica,0.250077834039296,0.461324656225437,0.542086425827389,0.58775896937048
native_countryJapan,0.506191092961482,0.432998194669029,1.16903742138786,0.242388554699537
native_countryLaos,0.049582389946925,0.893370581756438,0.055500361170884,0.955739842222583
native_countryMexico,-0.226305351285877,0.267499887475418,-0.846001669091069,0.397551813155206
native_countryNicaragua,-0.310108816110647,0.807958985843943,-0.383817522354463,0.701113699991775
native_countryOutlying-US(Guam-USVI-etc),-13.0285301780842,347.951383911799,-0.0374435360239486,0.970131360264685
native_countryPeru,-0.513663872769939,0.881775750731448,-0.582533452914582,0.560207415192441
native_countryPhilippines,0.793027717915583,0.290119648071647,2.73345057181284,0.00626745295667548
native_countryPoland,0.409288804430637,0.4547295810797,0.900070770541978,0.368082589898241
native_countryPortugal,0.21386511756276,0.642232350467117,0.333002716862844,0.73913223233125
native_countryPuerto-Rico,-0.150289610311118,0.418018338660182,-0.359528748888915,0.719199575022502
native_countryScotland,-0.0926340057406007,0.95231987236768,-0.0972719444678728,0.922510435395574
native_countrySouth,-0.145310739793287,0.441341689439588,-0.329247708227612,0.741968465310511
native_countryTaiwan,0.323749159140842,0.48609977534875,0.666013801196615,0.505402278994864
native_countryThailand,-0.21039988491277,0.830628173852076,-0.253302129082657,0.800034750977231
native_countryTrinadad&Tobago,-0.210093018036522,1.09090037929471,-0.192586804463622,0.847282579978908
native_countryUnited-States,0.441792864693094,0.144693561270135,3.05330009721919,0.00226339466001939
native_countryVietnam,-0.40705292688626,0.627152207321247,-0.649049659930088,0.516306278307392
native_countryYugoslavia,0.895980396415459,0.792061294233827,1.13120083374628,0.257970571109617
minutes_per_week,0.0300596157896007,0.00168701319410969,17.818245817256,5.10111930734042e-71
log(I(1 + abs(capital_gain - capital_loss))),0.186845635276518,0.00586077654881729,31.8806959658313,4.9446915693473e-223
